txn_id,token_id,txn_type,time,price [ETH]
0,6941,1,0.8957534725551783,96.0
1,574,1,0.9464930837350247,137.77
2,4672,1,0.7918608857403244,26.5
3,3820,1,0.8959766344611877,130.0
4,9696,1,0.9466827226298256,159.0
5,1564,1,0.8102114210560372,21.47
6,4356,1,0.9734426612281428,77.9
7,2243,1,0.24664662692240819,0.8
8,8431,1,0.8802548294575274,41.111
9,4070,1,0.8088386342569311,33.99
10,7940,1,0.8507630577975693,15.82
11,7998,1,0.782039033258725,35.0
12,5229,1,0.8088732292248932,62.0
13,5640,1,0.742155517926625,5.39
14,4384,1,0.5989268933289986,0.61
15,3850,0,0.6310362859310159,1.0
16,5364,1,0.9079249567903978,118.5
17,3878,1,0.777684257671897,20.24
18,5758,1,0.8950903211270591,93.0
19,911,1,0.8068923505945655,30.99
20,3702,1,0.8131757712826293,36.0
21,4990,1,0.8780118086755992,32.88
22,6474,1,0.8276176599223044,17.0
23,527,1,0.878664727789251,39.99
24,5840,1,0.9354192832156518,115.0
25,4091,1,0.517767975545353,0.55
26,5098,1,0.8690908871202252,19.98
27,7016,0,0.8116038928791667,21.0
28,1277,1,0.81377967273745,19.9
29,9092,0,0.7981385568421635,22.5
30,3611,0,0.7744082603818037,15.0
31,6080,1,0.8091954009547042,22.97
32,7052,1,0.8898637523475852,50.0
33,1679,1,0.8726996782570529,21.97
34,7813,1,0.7823779664941399,24.0
35,9017,1,0.6765933760089062,1.99
36,8562,1,0.8090296374603279,33.0
37,6575,1,0.892794384661741,67.9
38,432,1,0.8232178621518187,21.0
39,6256,1,0.860327835559495,101.0
40,9886,1,0.9076051238753224,89.99
41,8127,1,0.8388406573316773,16.75
42,5560,1,0.7778695112890688,16.25
43,1532,1,0.878738595354646,65.0
44,8444,1,0.779799813050742,29.0
45,3335,0,0.7874048589655733,22.0
46,580,1,0.9064083328850605,96.0
47,9268,1,0.7885635467657699,16.0
48,9818,1,0.8978239082997519,120.5
49,7453,1,0.7754038158542014,11.0
50,9120,1,0.605928817393921,1.45
51,4862,1,0.8805999995322369,43.23
52,8914,1,0.8697172022162607,23.98
53,1501,1,0.969117023374894,75.9
54,6874,1,0.827989239113402,17.5
55,9864,1,0.7686584792558826,5.5
56,8619,1,0.8815786960484164,44.44
57,2124,1,0.8780050845832348,23.99
58,489,1,0.7910500966320289,24.9
59,6845,1,0.789926978305934,24.5
60,7804,1,0.7596185705008416,5.49
61,8320,1,0.987791387080855,64.95
62,8133,1,0.9406387381003054,87.0
63,5852,1,0.691507023070848,5.85
64,7518,0,0.3458560295813287,1.0
65,8605,1,0.6765182415855293,1.4
66,7680,1,0.7754436731553183,12.9
